date,scope,category,activity,quantity,unit,emission_factor
2024-01-01,Scope 2,Purchased Electricity,State Grid,417.1221272317301,kWh,0.716
2024-01-02,Scope 2,Purchased Electricity,State Grid,424.65873754834865,kWh,0.716
2024-01-03,Scope 2,Purchased Electricity,State Grid,438.74629288798076,kWh,0.716
2024-01-04,Scope 2,Purchased Electricity,State Grid,391.1730545760203,kWh,0.716
2024-01-05,Scope 2,Purchased Electricity,State Grid,404.4212336654723,kWh,0.716
2024-01-05,Scope 3,Waste Generated,Mixed Municipal Waste,76.02447354522394,kg,0.45
2024-01-05,Scope 3,Waste Generated,Scrap Metal & Cardboard,52.61131131294219,kg,0.02
2024-01-06,Scope 2,Purchased Electricity,State Grid,484.3614702801372,kWh,0.716
2024-01-06,Scope 1,Mobile Combustion,Delivery Truck (Diesel),41.301076032123,Liter,2.68
2024-01-06,Scope 1,Mobile Combustion,Company Cars (Petrol),29.834601136614346,Liter,2.31
2024-01-07,Scope 2,Purchased Electricity,State Grid,437.0617563083587,kWh,0.716
2024-01-08,Scope 2,Purchased Electricity,State Grid,444.26626905436615,kWh,0.716
2024-01-09,Scope 2,Purchased Electricity,State Grid,438.22318976638644,kWh,0.716
2024-01-09,Scope 1,Stationary Combustion,DG Set (Diesel),29.32941994254289,Liter,2.68
2024-01-10,Scope 2,Purchased Electricity,State Grid,443.6593355181296,kWh,0.716
2024-01-11,Scope 2,Purchased Electricity,State Grid,387.3002180018096,kWh,0.716
2024-01-12,Scope 2,Purchased Electricity,State Grid,494.41747578002116,kWh,0.716
2024-01-12,Scope 3,Waste Generated,Mixed Municipal Waste,65.81147596400805,kg,0.45
2024-01-12,Scope 3,Waste Generated,Scrap Metal & Cardboard,42.65028948491208,kg,0.02
2024-01-13,Scope 2,Purchased Electricity,State Grid,455.60539463169613,kWh,0.716
2024-01-13,Scope 1,Mobile Combustion,Delivery Truck (Diesel),46.45528515247873,Liter,2.68
2024-01-13,Scope 1,Mobile Combustion,Company Cars (Petrol),23.755622293241647,Liter,2.31
2024-01-14,Scope 2,Purchased Electricity,State Grid,406.3044856207401,kWh,0.716
2024-01-15,Scope 2,Purchased Electricity,State Grid,465.5806239268041,kWh,0.716
2024-01-16,Scope 2,Purchased Electricity,State Grid,470.6105467828234,kWh,0.716
2024-01-17,Scope 2,Purchased Electricity,State Grid,413.4746514909971,kWh,0.716
2024-01-18,Scope 2,Purchased Electricity,State Grid,450.92876842667795,kWh,0.716
2024-01-19,Scope 2,Purchased Electricity,State Grid,468.282065382602,kWh,0.716
2024-01-19,Scope 3,Waste Generated,Mixed Municipal Waste,80.73674509766228,kg,0.45
2024-01-19,Scope 3,Waste Generated,Scrap Metal & Cardboard,51.73284149466401,kg,0.02
2024-01-20,Scope 2,Purchased Electricity,State Grid,457.01203519714153,kWh,0.716
2024-01-20,Scope 1,Mobile Combustion,Delivery Truck (Diesel),38.938802389887734,Liter,2.68
2024-01-20,Scope 1,Mobile Combustion,Company Cars (Petrol),26.62139733172636,Liter,2.31
2024-01-21,Scope 2,Purchased Electricity,State Grid,494.011784928441,kWh,0.716
2024-01-22,Scope 2,Purchased Electricity,State Grid,425.60436880120164,kWh,0.716
2024-01-23,Scope 2,Purchased Electricity,State Grid,492.34278252897224,kWh,0.716
2024-01-24,Scope 2,Purchased Electricity,State Grid,440.38431501551906,kWh,0.716
2024-01-25,Scope 2,Purchased Electricity,State Grid,412.9245980170476,kWh,0.716
2024-01-26,Scope 2,Purchased Electricity,State Grid,421.83355444765607,kWh,0.716
2024-01-26,Scope 3,Waste Generated,Mixed Municipal Waste,82.7805022624941,kg,0.45
2024-01-26,Scope 3,Waste Generated,Scrap Metal & Cardboard,53.57424086253971,kg,0.02
2024-01-27,Scope 2,Purchased Electricity,State Grid,492.46337115455236,kWh,0.716
2024-01-27,Scope 1,Mobile Combustion,Delivery Truck (Diesel),45.46467992944513,Liter,2.68
2024-01-27,Scope 1,Mobile Combustion,Company Cars (Petrol),23.012036892041714,Liter,2.31
2024-01-28,Scope 2,Purchased Electricity,State Grid,465.6569876308318,kWh,0.716
2024-01-29,Scope 2,Purchased Electricity,State Grid,396.2027393154211,kWh,0.716
2024-01-30,Scope 2,Purchased Electricity,State Grid,464.60241385556856,kWh,0.716
2024-01-31,Scope 2,Purchased Electricity,State Grid,456.0499207623419,kWh,0.716
2024-02-01,Scope 2,Purchased Electricity,State Grid,439.1489064421537,kWh,0.716
2024-02-02,Scope 2,Purchased Electricity,State Grid,436.8268253015329,kWh,0.716
2024-02-02,Scope 3,Waste Generated,Mixed Municipal Waste,82.40587149402127,kg,0.45
2024-02-02,Scope 3,Waste Generated,Scrap Metal & Cardboard,41.279135403349024,kg,0.02
2024-02-03,Scope 2,Purchased Electricity,State Grid,447.233046140066,kWh,0.716
2024-02-03,Scope 1,Mobile Combustion,Delivery Truck (Diesel),44.86572097538956,Liter,2.68
2024-02-03,Scope 1,Mobile Combustion,Company Cars (Petrol),24.64155611595564,Liter,2.31
2024-02-04,Scope 2,Purchased Electricity,State Grid,453.58629828181887,kWh,0.716
2024-02-05,Scope 2,Purchased Electricity,State Grid,454.68068927740626,kWh,0.716
2024-02-06,Scope 2,Purchased Electricity,State Grid,384.1183437140793,kWh,0.716
2024-02-07,Scope 2,Purchased Electricity,State Grid,476.13439619156134,kWh,0.716
2024-02-08,Scope 2,Purchased Electricity,State Grid,462.94598501986883,kWh,0.716
2024-02-09,Scope 2,Purchased Electricity,State Grid,465.460847784252,kWh,0.716
2024-02-09,Scope 3,Waste Generated,Mixed Municipal Waste,69.35983889076589,kg,0.45
2024-02-09,Scope 3,Waste Generated,Scrap Metal & Cardboard,49.958529297562514,kg,0.02
2024-02-10,Scope 2,Purchased Electricity,State Grid,389.7083293771857,kWh,0.716
2024-02-10,Scope 1,Mobile Combustion,Delivery Truck (Diesel),37.706363622813974,Liter,2.68
2024-02-10,Scope 1,Mobile Combustion,Company Cars (Petrol),27.466378774729765,Liter,2.31
2024-02-11,Scope 2,Purchased Electricity,State Grid,474.77333747662595,kWh,0.716
2024-02-12,Scope 2,Purchased Electricity,State Grid,412.12835541146273,kWh,0.716
2024-02-13,Scope 2,Purchased Electricity,State Grid,435.88979172990156,kWh,0.716
2024-02-14,Scope 2,Purchased Electricity,State Grid,439.10665468835737,kWh,0.716
2024-02-15,Scope 2,Purchased Electricity,State Grid,495.2199739886231,kWh,0.716
2024-02-16,Scope 2,Purchased Electricity,State Grid,399.7459787622535,kWh,0.716
2024-02-16,Scope 3,Waste Generated,Mixed Municipal Waste,77.79137980673158,kg,0.45
2024-02-16,Scope 3,Waste Generated,Scrap Metal & Cardboard,48.18364897846225,kg,0.02
2024-02-17,Scope 2,Purchased Electricity,State Grid,489.489215640813,kWh,0.716
2024-02-17,Scope 1,Mobile Combustion,Delivery Truck (Diesel),35.888233019879905,Liter,2.68
2024-02-17,Scope 1,Mobile Combustion,Company Cars (Petrol),24.142571948845422,Liter,2.31
2024-02-18,Scope 2,Purchased Electricity,State Grid,439.7872669514136,kWh,0.716
2024-02-19,Scope 2,Purchased Electricity,State Grid,445.3572828614219,kWh,0.716
2024-02-20,Scope 2,Purchased Electricity,State Grid,453.85636092477995,kWh,0.716
2024-02-21,Scope 2,Purchased Electricity,State Grid,418.81438946601526,kWh,0.716
2024-02-22,Scope 2,Purchased Electricity,State Grid,452.38183161838685,kWh,0.716
2024-02-23,Scope 2,Purchased Electricity,State Grid,438.31840253464543,kWh,0.716
2024-02-23,Scope 3,Waste Generated,Mixed Municipal Waste,66.24870231125443,kg,0.45
2024-02-23,Scope 3,Waste Generated,Scrap Metal & Cardboard,52.09792029267358,kg,0.02
2024-02-24,Scope 2,Purchased Electricity,State Grid,414.87506694401156,kWh,0.716
2024-02-24,Scope 1,Mobile Combustion,Delivery Truck (Diesel),32.11926151044682,Liter,2.68
2024-02-24,Scope 1,Mobile Combustion,Company Cars (Petrol),29.98245295494781,Liter,2.31
2024-02-25,Scope 2,Purchased Electricity,State Grid,454.3884748035974,kWh,0.716
2024-02-26,Scope 2,Purchased Electricity,State Grid,533.8241952479917,kWh,0.716
2024-02-27,Scope 2,Purchased Electricity,State Grid,420.877318695478,kWh,0.716
2024-02-28,Scope 2,Purchased Electricity,State Grid,419.36281547527284,kWh,0.716
